country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989 ,1990 ,1991 ,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NETHERLANDS,188.4,222.7,265.2,301.7,349.9,401.1,419.5,439.9,479.0,523.0,630.9,621.3,703.5,732.0,635.4,615.5,707.0,672.1,740.5,831.4,777.8,778.0,624.3,613.0,590.0,610.0,675.0,691.0,723.0,715.0,734.0,758.0,769.0,764.3,763.8,767.5,761.5,793.0,801.4,828.0,854.3,893.5,898.5,918.5,947.8,1021.5,999.6,1111.0,1068.6,1005.2,1019.8,1016.4,1020.6,967.5
SPAIN,120.7,150.7,176.9,184.4,232.0,255.5,307.5,380.5,460.3,510.1,569.0,630.6,668.4,769.1,833.7,855.3,973.1,923.1,963.7,1014.2,1025.0,962.0,901.5,906.9,852.0,858.0,866.0,895.0,983.0,981.0,1010.0,1068.0,1104.0,1054.7,1118.6,1189.3,1199.4,1266.1,1356.0,1396.0,1433.0,1492.2,1504.4,1542.3,1571.3,1607.2,1588.3,1611.5,1546.9,1467.2,1440.9,1385.5,1288.9,1199.1
UNITED KINGDOM,920.0,972.2,1065.9,1157.9,1279.2,1389.6,1504.2,1618.7,1722.9,1858.8,2002.9,2011.5,2136.2,2194.7,2055.2,1834.1,1819.8,1829.6,1872.1,1872.4,1641.9,1539.6,1589.6,1521.6,1825.0,1617.0,1637.0,1611.0,1692.0,1731.0,1776.0,1803.0,1815.0,1828.6,1832.6,1816.0,1851.6,1810.1,1792.4,1811.5,1765.5,1746.8,1738.5,1759.6,1789.3,1819.5,1805.8,1750.6,1725.9,1636.4,1621.4,1583.9,1502.6,1518.8
OTHERS,979.7,1081.1,1235.2,1407.2,1563.9,1751.2,1921.7,2052.4,2277.9,2566.3,2881.6,2979.0,3163.4,3344.7,3171.1,3182.2,3415.1,3479.0,3565.6,3597.6,3427.5,3222.9,3121.2,3027.0,2978.7,3068.7,3258.7,3329.7,3345.7,3408.6,3484.6,3468.5,3496.5,3597.3,3693.2,3821.3,3962.1,4024.7,4151.4,4147.7,4166.7,4200.8,4245.7,4293.7,4318.0,4343.5,4356.1,4317.4,4300.8,4087.2,4078.4,3949.0,3871.3,3896.3
MIDDLE EAST,310.6,331.8,358.0,357.1,414.5,463.4,509.7,543.5,669.5,675.5,688.2,726.5,787.0,881.6,969.4,1117.3,1313.6,1503.7,1670.6,1843.0,2095.3,2204.8,2383.2,2631.7,2890.8,3041.5,3114.1,3183.4,3336.2,3303.8,3337.2,3524.2,3697.0,3945.9,4080.8,4112.6,4191.0,4332.5,4501.7,4522.9,4729.4,4850.0,5010.1,5178.4,5509.0,5870.8,6202.6,6515.3,6924.9,7096.1,7369.9,7583.8,7869.0,8050.6
I.R.IRAN,69.6,75.9,80.3,83.1,96.3,105.4,119.4,137.9,155.6,173.0,190.2,203.1,228.3,270.0,308.2,367.1,449.1,532.8,539.0,566.1,586.5,583.0,594.9,695.3,807.1,830.4,868.7,895.5,897.2,951.4,1021.6,1087.1,1085.9,1135.0,1159.4,1168.2,1193.0,1253.1,1246.0,1222.0,1219.5,1251.2,1286.4,1341.3,1402.1,1507.6,1628.7,1718.6,1813.8,1858.8,1820.4,1784.3,1764.7,1775.8
IRAQ,36.7,40.6,41.8,41.6,47.7,51.3,59.6,66.6,69.4,71.0,66.2,71.6,80.5,86.6,90.8,104.7,123.3,139.7,159.8,196.5,205.5,226.9,269.6,281.8,295.8,323.0,320.2,341.7,359.5,395.1,381.9,347.7,396.2,425.6,446.4,430.1,417.9,425.1,437.4,453.5,511.3,563.3,551.7,463.7,544.5,584.2,598.4,582.6,600.2,662.6,693.9,751.7,802.8,835.2
KUWAIT,79.1,78.2,75.3,76.7,78.2,78.8,85.5,90.7,92.4,94.5,100.0,103.5,105.8,107.3,114.2,121.8,134.6,135.5,147.1,151.7,165.7,152.4,179.3,195.8,196.6,197.8,214.1,226.6,240.0,239.9,101.7,83.2,120.7,121.8,150.2,161.8,157.8,176.6,209.0,235.6,225.0,229.4,238.0,296.6,330.5,337.2,314.7,316.4,324.0,340.6,358.2,361.0,377.0,383.2
QATAR,1.0,1.0,1.0,1.1,0.8,0.9,0.9,1.2,1.3,2.4,1.6,1.7,2.0,2.7,3.2,4.2,5.3,5.3,5.4,5.4,6.1,6.8,7.8,8.5,8.9,10.5,11.6,11.6,12.5,13.0,13.2,12.8,13.9,13.7,16.3,17.2,19.3,21.6,23.2,22.2,23.6,25.4,32.9,30.8,55.7,60.1,91.2,81.9,94.9,101.5,106.9,122.8,123.3,147.0
SAUDI ARABIA,19.6,17.9,17.5,18.8,24.0,24.8,29.6,35.1,41.2,58.2,63.4,70.3,81.8,101.8,130.9,151.1,205.7,245.4,336.0,429.1,602.0,676.0,739.0,835.0,936.0,992.0,941.0,899.0,983.0,851.0,906.0,958.1,1020.8,1103.6,1125.7,1089.3,1155.0,1183.1,1278.2,1288.4,1409.8,1438.5,1540.1,1608.3,1702.8,1824.9,1956.5,2073.9,2252.5,2362.4,2599.5,2727.1,2872.7,2994.0
